,national_qr,international_qr,date_first_detected,date_last_detected
636d21a8cb45abd90b2ae47bb460e7ce,,1.0,2021-11-07,2024-06-16
0d717e391a5137fb4fc657f6fb19b500,,1.0,2021-11-07,2024-06-16
8a7ee53316cd94ec961b65789f515a98,,1.0,2021-11-07,2024-06-16
277a2824503fc8d82aa516bb7191fde8,,1.0,2021-11-07,2024-06-16
87bac3cf75b3f7dd1e697213446ee765,,1.0,2021-11-07,2024-06-16
2e261ab3b0f38268836543f1acd1cac0,,1.0,2021-11-07,2024-06-16
3ad7d7e37f46444503a21525a954159c,,1.0,2021-11-07,2024-06-16
d5fd5558f5a85fb0a944d681eb6b5fda,,1.0,2021-11-07,2024-06-16
6b78de8f525ef6f29408522d92611374,,1.0,2021-11-07,2024-06-16
bb3db942b056f88b46ed9ca068401265,,1.0,2021-11-07,2024-06-16
40c4a6835a1e5efd3dc1f5ac6cda932a,,1.0,2021-11-07,2024-06-16
103d4cfc48180045b5d96701bd02b9d9,,1.0,2021-11-07,2024-06-16
94494a1219f5ed0956a8f7c4f9243ec0,,1.0,2021-11-07,2024-06-16
7b279a3caf90c53fd68c9c2a289488a6,,1.0,2021-11-07,2024-06-16
6fa1abaf48b0a5202aeda1ba81dd42bf,,1.0,2021-11-07,2024-06-16
bdca38fa8afa1a178315a8440d2b1be5,,1.0,2021-11-07,2024-06-16
eedbdbff54fcd9e161f9eb5298a8bf42,,1.0,2021-11-07,2024-06-16
d948a6b5d3364787b4767486eb595c55,,1.0,2021-11-07,2024-06-16
45f435423b7d6cea0bb57210f46e0a56,,1.0,2021-11-07,2024-06-16
e625b5030224f766984cc1066f89a5bf,,1.0,2021-11-07,2024-06-16
d01e057f4a135cd1cb080c645a1f4b37,,1.0,2021-11-07,2024-06-16
0dc7271852041a315baf3a946545b5b8,,1.0,2021-11-07,2024-06-16
b815111d88c9306f0b3d47345108c78f,,1.0,2021-11-07,2024-06-16
3f21d42d42a6028469c3cc4650e6c280,,1.0,2021-11-07,2024-06-16
31c5f2de9e98b2419a896f5f8e4a3f7f,,1.0,2021-11-07,2024-06-16
f99ed293213568543b929b56f0094188,,1.0,2021-11-07,2024-06-16
61b2e085d117b281977d7c75d75822c1,,1.0,2021-11-07,2024-06-16
a9332c8e114b7adf1acb754cb48a0f58,,1.0,2021-11-07,2024-06-16
ffa26f92cb4c22f1a8e7333a4e25b1dc,,1.0,2021-11-07,2024-06-16
a9ebc8c2646321b3b8325c6420bdb01c,,1.0,2021-11-07,2024-06-16
317c626a686a3ae1a331e75cd1bff214,,1.0,2021-11-07,2024-06-16
159a3f1c1797f5cfd61165f11fd98b21,,1.0,2021-11-07,2024-06-16
d082391e02c3bb35d7a48a77924e7606,,1.0,2021-11-07,2024-06-16
9d23e3115aa3ac751a8a9a2a236bd359,,1.0,2021-11-07,2024-06-16
a0093d589e5cc0b33088779f032f9133,,1.0,2021-11-07,2024-06-16
79632b1aa6a021668e935966f943e273,,1.0,2021-11-07,2024-06-16
96588f025f951fee1681f0baab9db912,,1.0,2021-11-07,2024-06-16
85ef482bea65df3af4080dfde625e3f2,,1.0,2021-11-07,2024-06-16
a5e9bb5b7d7b773d196c1967fefd43ab,,1.0,2021-11-07,2024-06-16
0cad8ad0dfe4ae82dd540ad2a090acee,,1.0,2021-11-07,2024-06-16
3d4e4a7d172d821865246b969dd2cd2a,,1.0,2021-11-07,2024-06-16
4fc1a6972cb624111e8a0dfd55b6b6cf,,1.0,2021-11-07,2024-06-16
29c77224cf07d97fc9a419e8602a815c,,1.0,2021-11-07,2024-06-16
276074510112402f524df1abe5b2602b,,1.0,2021-11-07,2024-06-16
1fcf58298c81c8914975c5d626974989,,1.0,2021-11-07,2024-06-16
4ad7c061337478be73f7997c29b9e4fa,,1.0,2021-11-07,2024-06-16
3b373b5cd5fef08a4ac90337d1252cb8,,1.0,2021-11-07,2024-06-16
4a352b3df5863dc3dcf1a146f42345d2,,1.0,2021-11-07,2024-06-16
c280155ea22c87f8d9b9b9cfb70214d6,,1.0,2021-11-07,2024-06-16
3fffa8d0c167e178404c3a259ad97f12,,1.0,2021-11-07,2024-06-16
7e39f075d1d343aa643861d94009d934,,1.0,2021-11-07,2024-06-16
824b5820b477f210d96363d1dbef582f,,1.0,2021-11-07,2024-06-16
d6db7f63e8ad9dbaf4c41086f8f46ae5,,1.0,2021-11-07,2024-06-16
1226bd98d797df3b2637ffec90c758da,,1.0,2021-11-07,2024-06-16
7af1c9bb67d9884af1a4805712672f88,,1.0,2021-11-07,2024-06-16
0f446710c4461c792bed389ff5639671,,1.0,2021-11-07,2024-06-16
1334596325d89b4fa01abd8cb2059a65,,1.0,2021-11-07,2024-06-16
bbdebcfc803c326787b63ea04550a3e1,,1.0,2021-11-07,2024-06-16
